id,text,label
113,"заказ 9088
Sample Person
SamplePad 2 30000 - 2",order
114,Ошибка в таблице — у Ивана не тот товар подтянулся,not_order
115,auto generated not order sample #3,not_order
116,"заказ 9107
Synthetic User
SamplePad 2 30000 - 2",order
117,Работаете в субботу?,not_order
118,"заказ №3258
Борис
Galaxy Buds3 - 1
Xiaomi 14 - 1
Dyson V15 - 4",order
119,Можно уступить 500 руб?,not_order
120,"СРОЧНО заказ 3290
Дмитрий
Dyson V15 - 5
Redmi Note 13 - 3",order
121,"заказ №3141
Света
Samsung S24 Ultra - 4
MacBook Air M2 - 1
Dyson V15 - 1",order
122,template noise message 83 without order structure,not_order
123,auto generated not order sample #21,not_order
124,Приму в зачёт iPhone 12,not_order
125,"заказ 2241
Виолетта
Apple TV 4K 128 - 1
HomePod mini - 2",order
126,заказ 3337 draft only,not_order
127,iPhone 14 оригинал или восстановленный?,not_order
128,"заказ 3049
Дмитрий
Samsung A55 - 2
PlayStation 5 - 3
MacBook Air M2 - 1
самовывоз завтра",order
129,Error analysis 10 примеров,not_order
130,"заказ №3232
Роман
Dyson V15 - 1
PlayStation 5 - 4
Samsung S24 Ultra - 1",order
131,Transcribator другой проект,not_order
132,"заказ 9076
Auto Buyer
SamplePad 2 30000 - 3",order
133,"думаю над iPhone 15 Pro, не заказ",not_order
134,"заказ 9070
Sample Person
SamplePad 2 30000 - 3",order
135,Пропустить заказ = потеря денег,not_order
136,Order format без номера заказа — спорный кейс,not_order
137,заказ 3314 отмена по просьбе клиента,not_order
138,ждём iPhone 14 на этой неделе?,not_order
139,"заказ 3346
Наталья
Apple Watch S9 - 3
Xiaomi 14 - 4
наличные",order
140,template noise message 13 without order structure,not_order
141,"заказ 2227
Влад
Garmin Fenix 7 - 1",order
142,"заказ 9009
Synthetic User
TestPhone X1 10000 - 2",order
143,"заказ 2187
Алексей К.
🇺🇸 iPhone 15 Pro 256 Black - 1
AirPods Pro 2 - 1",order
144,auto generated not order sample #91,not_order
145,заказ 3347 version 1 ignore,not_order
146,Sim+eSim или только esim?,not_order
147,"заказ 2216
Алина
Huawei MatePad 11.5 - 2",order
148,auto generated not order sample #102,not_order
149,"СРОЧНО заказ 3278
Вика
Xiaomi 14 - 5
iPhone 15 Pro 256 - 2",order
150,"заказ 2264
Савелий
iPad mini 7 256 - 1",order
151,template noise message 97 without order structure,not_order
152,"заказ 3043
Андрей
PlayStation 5 - 1
наличные",order
153,"заказ 3296
Ольга
Redmi Note 13 - 5",order
154,Similarity порог 0.5 мало,not_order
155,Белый в наличии?,not_order
156,Новый датасет лучше,not_order
157,template noise message 31 without order structure,not_order
158,"заказ 3150
Виктор
iPhone 15 Pro 256 - 4
AirPods Pro 2 - 4
доставка СДЭК",order
159,"заказ 9055
Gen Name
FakeBook Pro 50000 - 1",order
160,"заказ №3011
Андрей
iPad Air 11 - 5
MacBook Air M2 - 2",order
161,"СРОЧНО заказ 3332
Timur
Redmi Note 13 - 2",order
162,Скидка если беру 5 штук?,not_order
163,"заказ 9086
Gen Name
SamplePad 2 30000 - 2",order
164,"заказ 3120
Timur
GoPro Hero 12 - 1
оплата картой",order
165,Data leakage проверить,not_order
166,по Samsung S24 уточните в лс,not_order
167,Испытательный срок обсудим,not_order
168,"заказ 3026
Андрей
PlayStation 5 - 5
GoPro Hero 12 - 4
наличные",order
169,"заказ 3197
Анна
Redmi Note 13 - 2
Galaxy Buds3 - 4
PlayStation 5 - 4
самовывоз завтра",order
170,"заказ 2253
Диана
AirTag 4 pack - 3",order
171,Калибровка на val,not_order
172,"заказ 2220
Вера
Samsung Tab S9 - 1
S Pen - 1",order
173,"заказ 2260
Надежда
iPhone 14 Pro 256 Gold - 1",order
174,заказ 3329 — кто оформлял?,not_order
175,"СРОЧНО заказ 3183
Елена С.
MacBook Air M2 - 1
Samsung A55 - 4",order
176,"заказ 2244
Николай
Beats Studio Pro - 2",order
177,handle_group_text save redis lua,not_order
178,"заказ 3311? нет, просто спрашиваю номер",not_order
179,"заказ 3184
Катя
Redmi Note 13 - 1
Xiaomi 14 - 3
iPhone 15 Pro 256 - 2
самовывоз завтра",order
180,"СРОЧНО заказ 3105
Юля
MacBook Air M2 - 4",order
181,"заказ 3076
Zaur
Canon R50 - 5
Redmi Note 13 - 2
самовывоз завтра",order
182,"заказ 9102
Тест Клиент
SamplePad 2 30000 - 3",order
183,Torch cuda if available,not_order
184,Согласен,not_order
185,"заказ №3010
Света
Canon R50 - 1
Redmi Note 13 - 5
GoPro Hero 12 - 2",order
186,"заказ 3319
Наталья
Samsung A55 - 1
iPhone 15 Pro 256 - 2
Xiaomi 14 - 1
доставка СДЭК",order
187,актуальная цена на iPhone 15 Pro?,not_order
188,Вчерашний прайс отличается от сегодняшнего,not_order
189,заказ 3320 — исправьте имя в таблице,not_order
190,"заказ 3281
Мария К.
Samsung S24 Ultra - 4
Dyson V15 - 5
PlayStation 5 - 1
самовывоз завтра",order
191,Напишите в лс,not_order
192,Uslyshal,not_order
193,template noise message 118 without order structure,not_order
194,"заказ 2225
Denis
Pixel 8 Pro 256 - 1",order
195,Оформил через менеджера в лс,not_order
196,"заказ 9025
Gen Name
FakeBook Pro 50000 - 2",order
197,когда будет iPhone 15 Pro?,not_order
198,"заказ 2249
Агата
iPhone 15 Pro 128 Blue - 2
ESIM only - 2",order
199,Адрес точки тот же что на карте?,not_order
200,"заказ 3005
Ольга
iPhone 14 128 - 3
AirPods Pro 2 - 5
самовывоз завтра",order
201,"СРОЧНО заказ 3029
Мария К.
PlayStation 5 - 2
Samsung A55 - 1
Xiaomi 14 - 1",order
202,template noise message 70 without order structure,not_order
203,"заказ 9002
Synthetic User
FakeBook Pro 50000 - 1",order
204,Сравните 15 и 15 pro для обычного пользователя,not_order
205,Нужно научить модель такие ловить,not_order
206,"заказ 9024
Auto Buyer
FakeBook Pro 50000 - 1",order
207,"Молодцы, сегодня быстро разобрали поток",not_order
208,"СРОЧНО заказ 3249
Сергей
GoPro Hero 12 - 3
PlayStation 5 - 1
iPhone 14 128 - 2",order
209,Entities telegram не нужны тут,not_order
210,"заказ 2199
Кирилл
MacBook Pro 14 M3 Pro - 1",order
211,Managers list в env кривой,not_order
212,"заказ 2213
Максим Орлов
🇷🇺 iPhone 13 128 - 5",order
213,validate_managers баг,not_order
214,можно фото iPhone 14?,not_order
215,auto generated not order sample #43,not_order
216,Learning rate 2e-5,not_order
217,Переспрошу количество,not_order
218,"заказ 3298
Ира
Samsung A55 - 4
Galaxy Buds3 - 3
оплата картой",order
219,"СРОЧНО заказ 3270
Татьяна
Apple Watch S9 - 3
Dyson V15 - 5",order
220,"заказ 2251
Василиса
Dyson Supersonic - 1",order
221,auto generated not order sample #8,not_order
222,"заказ 9036
Sample Person
FakeBook Pro 50000 - 1",order
223,SYN_NOT_ORDER_88: generic chat message,not_order
224,"заказ №3068
Вика
iPhone 14 128 - 3
Redmi Note 13 - 5",order
225,заказ 3353 счёт не выставлен,not_order
226,Photo ocr future,not_order
227,"заказ 3343
Иван Петров
Redmi Note 13 - 2
AirPods Pro 2 - 1
оплата картой",order
228,"заказ 9010
Auto Buyer
SamplePad 2 30000 - 3",order
229,"заказ 9034
Auto Buyer
FakeBook Pro 50000 - 1",order
230,"Заказ 3295
Андрей
Xiaomi 14 - 3
Apple Watch S9 - 5
Canon R50 - 1",order
231,"Коллеги, прайс обновите, а то клиенты пишут что цены старые",not_order
232,Flet app admin link obscure,not_order
233,"заказ 2223
Фёдор
Asus ROG Ally - 1",order
234,"заказ 2243
Margarita
iPhone 12 64 refurb - 6",order
235,SYN_NOT_ORDER_26: generic chat message,not_order
236,"На авито дешевле видел, чем у нас",not_order
237,auto generated not order sample #38,not_order
238,"заказ 2198
Татьяна И.
Apple Watch Ultra 2 - 1",order
239,horiazontal product line lol,not_order
240,"заказ 3087
Timur
AirPods Pro 2 - 3
доставка СДЭК",order
241,"заказ №3123
Никита
Canon R50 - 3
Dyson V15 - 5",order
242,Google таблица не открывается,not_order
243,"заказ 9059
Тест Клиент
SamplePad 2 30000 - 3",order
244,"заказ 3203
Елена С.
Xiaomi 14 - 3
MacBook Air M2 - 1
доставка СДЭК",order
245,"заказ 9106
Synthetic User
SamplePad 2 30000 - 3",order
246,"заказ 9039
Тест Клиент
TestPhone X1 10000 - 2",order
247,"заказ 3273
Ира
Xiaomi 14 - 4
Apple Watch S9 - 2
оплата картой",order
248,Если брак — куда нести?,not_order
249,Gradient accumulation,not_order
250,"заказ 3125
Ольга
Samsung A55 - 2
оплата картой",order
251,"заказ 3149
Zaur
GoPro Hero 12 - 2
Samsung A55 - 5
доставка СДЭК",order
252,"заказ 2258
Лариса
Philips Hue starter - 2",order
253,"заказ 2242
Илья
Samsung Odyssey G8 - 1",order
254,"Инвентаризация в пятницу, не принимаем",not_order
255,"заказ 2231
Лев
MacBook Air 13 M3 16/512 - 1",order
256,"заказ 9015
Тест Клиент
TestPhone X1 10000 - 1",order
257,Replicate api upscale,not_order
258,Повторите прошлый заказ пожалуйста (потерял сообщение),not_order
259,"заказ 2283
Новый клиент
Александра
Samsung Buds FE white - 2",order
260,Label noise possible,not_order
261,"заказ 3108
Света
iPhone 15 Pro 256 - 1
PlayStation 5 - 2
Samsung A55 - 4
оплата картой",order
262,Классификатор перед celery,not_order
263,"заказ 3143
Виктор
Dyson V15 - 1
самовывоз завтра",order
264,template noise message 78 without order structure,not_order
265,"заказ 2277
Мск самовывоз
Денис П.
Apple Watch S9 45 GPS - 1",order
266,"заказ 9075
Sample Person
TestPhone X1 10000 - 3",order
267,template noise message 67 without order structure,not_order
268,"не оформляйте, просто Samsung S24 в наличии?",not_order
269,Нужна русская прошивка,not_order
270,есть iPhone 14 в наличии?,not_order
271,"СРОЧНО заказ 3133
Кирилл
iPhone 14 128 - 2",order
272,"заказ 3230
Дмитрий
GoPro Hero 12 - 5
Canon R50 - 5
iPhone 14 128 - 5
оплата картой",order
273,Нужно одобрение финдира,not_order
274,"заказ 9093
Synthetic User
SamplePad 2 30000 - 2",order
275,"заказ 9066
Sample Person
TestPhone X1 10000 - 1",order
276,На совещании,not_order
277,заказ 3326 — цена не согласована,not_order
278,"заказ 3101
Алексей
PlayStation 5 - 3
iPad Air 11 - 1
самовывоз завтра",order
279,"заказ 3109
Юля
Dyson V15 - 4
Redmi Note 13 - 4
Apple Watch S9 - 1
наличные",order
280,Формат заказа скиньте новичку,not_order
281,template noise message 56 without order structure,not_order
282,"заказ 3214
Ира
Samsung A55 - 4
наличные",order
283,POST /predict text body,not_order
284,заказ 3339 отмена без замены,not_order
285,iPhone 15 Pro оригинал или восстановленный?,not_order
286,sqlite bot project weekend,not_order
287,"заказ 3222
Юля
Xiaomi 14 - 5
iPad Air 11 - 1
самовывоз завтра",order
288,"заказ 3348
Гена
Apple Watch S9 - 5
AirPods Pro 2 - 1
iPhone 14 128 - 1
самовывоз завтра",order
289,"MacBook Air M2
2 шт
для офиса
счёт на ООО",not_order
290,заказ 3315 не актуален,not_order
291,"заказ 3193
Елена С.
GoPro Hero 12 - 4
iPad Air 11 - 1",order
292,"заказ 3228
Гена
MacBook Air M2 - 5
Galaxy Buds3 - 1
Canon R50 - 3
наличные",order
293,Celery worker не поднимается,not_order
294,iPhone 15 Pro — сколько стоит?,not_order
295,Видео включения можно?,not_order
296,"Список скину вечером, сейчас на встрече",not_order
297,"заказ 3256
Катя
PlayStation 5 - 5
оплата картой",order
298,"заказ 3361
Гена
Redmi Note 13 - 2
Apple Watch S9 - 1
iPhone 15 Pro 256 - 4",order
299,Самовывоз с Таганки сегодня до скольки?,not_order
300,"заказ 9051
Auto Buyer
TestPhone X1 10000 - 1",order
301,заказ 3340 — номер занят?,not_order
302,auto generated not order sample #55,not_order
303,"заказ 3126
Андрей
iPad Air 11 - 4
самовывоз завтра",order
304,"заказ 9091
Тест Клиент
FakeBook Pro 50000 - 1",order
305,RabbitMQ memory limit,not_order
306,template noise message 107 without order structure,not_order
307,"не оформляйте, просто iPhone 15 Pro в наличии?",not_order
308,"заказ 9050
Тест Клиент
SamplePad 2 30000 - 3",order
309,"думаю над iPhone 14, не заказ",not_order
310,заказ 3333 🔥 не ставится,not_order
311,"заказ 3253
Роман
GoPro Hero 12 - 3",order
312,"Заказ 3179
Никита
AirPods Pro 2 - 5
Redmi Note 13 - 4",order
313,template noise message 15 without order structure,not_order
314,"заказ 9020
Auto Buyer
FakeBook Pro 50000 - 3",order
315,"заказ 2247
Элина
Samsung Fit3 - 10",order
316,template noise message 25 without order structure,not_order
317,README пустой был,not_order
318,"заказ 9033
Gen Name
FakeBook Pro 50000 - 2",order
319,"заказ 3130
Наталья
iPhone 15 Pro 256 - 2
оплата картой",order
320,"заказ 3085
Борис
PlayStation 5 - 4
Dyson V15 - 1
доставка СДЭК",order
321,Auth middleware молча дропает — это ок?,not_order
322,False negative хуже чем false positive,not_order
323,Проект заморожен до Q3,not_order
324,Отзывы на Dyson V12 есть?,not_order
325,"Исправьте имя — не Петров, а Петрова",not_order
326,Что лучше S24 или iPhone 15?,not_order
327,"СРОЧНО заказ 3316
Aisha
Xiaomi 14 - 1
MacBook Air M2 - 3
Dyson V15 - 3",order
328,auto generated not order sample #103,not_order
329,"Заказ 3061
Сергей
GoPro Hero 12 - 4
iPhone 15 Pro 256 - 2",order
330,"заказ 3217
Татьяна
iPad Air 11 - 5
доставка СДЭК",order
331,"заказ 9029
Auto Buyer
FakeBook Pro 50000 - 1",order
332,"заказ 3338
Павел
Dyson V15 - 1
MacBook Air M2 - 3
Samsung A55 - 2
наличные",order
333,ML фильтр когда включат?,not_order
334,"заказ 3154
Ольга
GoPro Hero 12 - 5
Redmi Note 13 - 4
доставка СДЭК",order
335,SYN_NOT_ORDER_116: generic chat message,not_order
336,"заказ 2280
наличными в точке
Олег М.
AirPods Max USB-C - 1",order
337,"заказ 2284
заказ 2284
Ринат
Poco F6 Pro - 2
Poco X6 Pro - 1",order
338,"Заказ 3146
Дмитрий
Galaxy Buds3 - 4
Canon R50 - 3",order
339,Punctuation remove?,not_order
340,Github repo public,not_order
341,SYN_NOT_ORDER_36: generic chat message,not_order
342,"СРОЧНО заказ 3175
Сергей
Samsung A55 - 5
Dyson V15 - 5
iPhone 15 Pro 256 - 3",order
343,CharComparator опять не тот товар matched,not_order
344,Оптом 10 iPhone — какая цена?,not_order
345,"СРОЧНО заказ 3046
Кирилл
Redmi Note 13 - 3",order
346,"заказ 2268
Эмиль
Asus Zenbook 14 OLED - 1",order
347,Уберите samsung из списка,not_order
348,"Заказ 3211
Андрей
iPhone 15 Pro 256 - 3
Redmi Note 13 - 4
iPhone 14 128 - 4",order
349,"СРОЧНО заказ 3080
Гена
GoPro Hero 12 - 4
Apple Watch S9 - 5
PlayStation 5 - 4",order
350,Inter annotator kappa,not_order
351,"заказ №3167
Михаил
MacBook Air M2 - 2
Redmi Note 13 - 1
Galaxy Buds3 - 1",order
352,перенесите заказы кнопкой не работает,not_order
353,"Рассылка:
новые цены с 1 числа",not_order
354,brpop worker loop users O(n),not_order
355,"заказ 2235
Эдуард
Sonos Era 100 pair - 1",order
356,"Принято, жду в табличке",not_order
357,"заказ 9071
Тест Клиент
TestPhone X1 10000 - 2",order
358,imei Samsung S24 проверите?,not_order
359,"заказ 3041
Катя
Xiaomi 14 - 5
оплата картой",order
360,"заказ 2224
Яна
Nothing Phone 2 - 1",order
361,Confusion matrix скиньте,not_order
362,"заказ №3349
Наталья
AirPods Pro 2 - 5",order
363,Emoji only messages,not_order
364,phrase white black list profile redis,not_order
365,"заказ 3016
Лuda
iPad Air 11 - 2
AirPods Pro 2 - 5
Samsung A55 - 4
оплата картой",order
366,Samsung S24 — сколько стоит?,not_order
367,auto generated not order sample #2,not_order
368,Доставка в Казань сколько дней?,not_order
369,Hybrid system production,not_order
370,Docker inference api fastapi,not_order
371,"заказ №3186
Катя
AirPods Pro 2 - 2",order
372,"заказ 3299
Дмитрий
iPhone 15 Pro 256 - 4
Samsung S24 Ultra - 4
Dyson V15 - 4
наличные",order
373,"заказ 2250
Богдан
Xiaomi Pad 6 Pro - 1",order
374,"заказ 2196
Светлана
Xiaomi 14 Ultra - 1",order
375,"заказ 3338 — спросил клиент, не заказал",not_order
376,template noise message 30 without order structure,not_order
377,Hong Kong version чем отличается?,not_order
378,"заказ 3132
Aisha
iPhone 14 128 - 1
Xiaomi 14 - 4
оплата картой",order
379,Как правильно оформить заявку? Есть инструкция?,not_order
380,Embeddings vs fuzzy?,not_order
381,Train val test split stratified,not_order
382,"Заказ 3022
Вика
PlayStation 5 - 5",order
383,"заказ 9058
Synthetic User
FakeBook Pro 50000 - 3",order
384,"заказ 9118
Auto Buyer
FakeBook Pro 50000 - 2",order
385,"заказ 2190 ОТМЕНА, не учитывать",not_order
386,"заказ 3354
Дмитрий
iPhone 15 Pro 256 - 4
MacBook Air M2 - 2",order
387,Гарантия 1 год официальная?,not_order
388,Топик id поменяли?,not_order
389,"заказ 2200
Юлия
Sony WH-1000XM5 Black - 1
Sony WH-1000XM5 Silver - 1",order
390,"Заказ 3081
Timur
MacBook Air M2 - 2
Galaxy Buds3 - 3",order
391,template noise message 14 without order structure,not_order
392,"заказ 9030
Synthetic User
FakeBook Pro 50000 - 1",order
393,"заказ 3134
Света
iPhone 15 Pro 256 - 2
Galaxy Buds3 - 4
GoPro Hero 12 - 5",order
394,СДЭК или свой курьер?,not_order
395,"заказ 9022
Gen Name
SamplePad 2 30000 - 2",order
396,pre-commit нет — норм?,not_order
397,"заказ 9099
Sample Person
SamplePad 2 30000 - 3",order
398,Service account credentials expired,not_order
399,НДС включён в прайс?,not_order
400,"заказ 3322 не парсится, формат неверный?",not_order
401,"заказ 2205
Сергей Л.
🇨🇳 OnePlus 12 - 1",order
402,Заказать можно через бота или только сюда?,not_order
403,"Заказ 3169
Ольга
AirPods Pro 2 - 4
Apple Watch S9 - 2",order
404,заказ 3318 когда попадёт в таблицу?,not_order
405,"заказ 9101
Тест Клиент
FakeBook Pro 50000 - 3",order
406,"заказ 2278
доставка СДЭК
Мария О.
Dyson HS05 - 1",order
407,"СРОЧНО заказ 3102
Иван Петров
GoPro Hero 12 - 1
Dyson V15 - 4",order
408,"заказ 2267
Хлоя
Dyson V12 - 1",order
409,"заказ №3252
Никита
AirPods Pro 2 - 2",order
410,Weight decay 0.01,not_order
411,"заказ 3339
Кирилл
Samsung S24 Ultra - 3
iPhone 15 Pro 256 - 3
Apple Watch S9 - 5
наличные",order
412,по iPhone 15 Pro уточните в лс,not_order
413,Baseline tfidf logistic,not_order
414,"заказ 2285
Евгений К.
MacBook Air 13 M1 256 - 2",order
415,"Заказ 3280
Вика
AirPods Pro 2 - 3
Redmi Note 13 - 2",order
416,auto generated not order sample #22,not_order
417,Seed 42 зафиксировать,not_order
418,"заказ 3009
Вика
AirPods Pro 2 - 3
наличные",order
419,Для Беларуси подойдёт?,not_order
420,"СРОЧНО заказ 3058
Алексей
Samsung A55 - 2
Redmi Note 13 - 1",order
421,"заказ №3170
Павел
Canon R50 - 5
AirPods Pro 2 - 3
PlayStation 5 - 2",order
422,imei iPhone 15 Pro проверите?,not_order
423,"заказ 9103
Gen Name
FakeBook Pro 50000 - 1",order
424,Где мой заказ? статус не обновляется,not_order
425,parse_topic_id какой сейчас?,not_order
426,А iPhone 15 Pro 256 black есть?,not_order
427,"заказ 9052
Тест Клиент
SamplePad 2 30000 - 1",order
428,"заказ 3090
Андрей
Canon R50 - 5
Samsung S24 Ultra - 5
доставка СДЭК",order
429,заказ 3355 возврат оформлен,not_order
430,"заказ №3244
Гена
MacBook Air M2 - 4
Galaxy Buds3 - 2
Apple Watch S9 - 5",order
431,Truncation first,not_order
432,"заказ 3181
Вика
Dyson V15 - 4",order
433,Срочно!!! но оплатит только в пн,not_order
434,"Автоответ:
мы offline до 10:00",not_order
435,"СРОЧНО заказ 3309
Алексей
iPhone 15 Pro 256 - 5
Xiaomi 14 - 2",order
436,"заказ 3352
Zaur
Galaxy Buds3 - 1
MacBook Air M2 - 4
Apple Watch S9 - 3",order
437,"заказ 2269
Юрий М.
iPhone 11 64 - 4",order
438,"заказ 3119
Timur
Dyson V15 - 2
AirPods Pro 2 - 1
оплата картой",order
439,Клиент ругается что долго отвечаем,not_order
440,Можно проверить imei перед оплатой?,not_order
441,заказ 3341 где посмотреть историю,not_order
442,"это не заказ, просто смотрю цены",not_order
443,"заказ 9108
Synthetic User
TestPhone X1 10000 - 2",order
444,"заказ 3129
Михаил
iPhone 14 128 - 2
PlayStation 5 - 2
оплата картой",order
445,auto generated not order sample #59,not_order
446,"заказ 3208
Дмитрий
Apple Watch S9 - 1
доставка СДЭК",order
